Jordan Delta,1,Nike,Men's Shoes,White,M,100,130,0,15/09/2020,15/09/2020
Nike Air Force,2,Nike,Men's Shoes,White,M,9.00E+01,1.20E+02,0.3,15/09/2020,15/09/2020
Nike Air VaporMax 2020 FK,3,Nike,Men's Shoes,Black,L,200,220,0,15/09/2020,15/09/2020
Nike SuperRep Cycle,4,Nike,Men's Shoes,Black Red,L,90,120,0,15/09/2020,15/09/2020
LeBron 17 Low PH,5,Nike,Basketball Shoes,Red,XXL,120,160,0.1,16/09/2020,16/09/2020
NMD_R1,10,ADIDAS,Shoes,Core Black,M5,100,140,0,16/09/2020,16/09/2020
Stan Smith Shoes,31,ADIDAS,Men's Shoes,Cloud White,12,70,80,0,16/09/2020,16/09/2020
,,,,,,,,,,
,,,,,,,,,,
Ultraboost 20 Shoes,45,ADIDAS,Men's Running,Night Metallic,13,150,180,0,16/09/2020,16/09/2020
,
